term,cluster,domain_name
annual,5,Transport
apri lrnt h,5,Transport
apri pi95 vwia,5,Transport
apri pi95 vwpa,5,Transport
avia ec emp arp,6,Economics
avia ec emp ent,6,Economics
avia ec enterp,6,Economics
avia eq arc age,5,Transport
avia eq arc agereg,5,Transport
avia if arp,5,Transport
avia tpgo,5,Transport
avia tppa,5,Transport
cei pc050,5,Transport
cei srm010,2,Agriculture
cei wm010,2,Agriculture
cei wm011,2,Agriculture
cei wm020,2,Agriculture
cei wm060,2,Agriculture
demo r pjanind3$dv 1561,5,Transport
edat lfse 03$dv 598,7,Education
edat lfse 14$dv 1864,7,Education
edat lfse 14$dv 356,7,Education
edat lfse 20$dv 1101,7,Education
edat lfso 00t2,7,Education
edat lfso 00t4,7,Education
edat lfso 00t5,7,Education
egi em1,5,Transport
egi em2,5,Transport
egi em3,5,Transport
egi rd1,5,Transport
egi so1,5,Transport
egi tr1,5,Transport
egi tr2,5,Transport
egi tr3,5,Transport
egi tr4,5,Transport
egi tr5,5,Transport
egi va1,5,Transport
egr conc,6,Economics
egr emp,6,Economics
egr mne,5,Transport
egr mne n2sc,5,Transport
enpe apro cpnh1,6,Economics
enpe apro mt ls,6,Economics
enpe apro mt p,6,Economics
enpe bop c6 a,6,Economics
enpe bop iip6,6,Economics
enpe bop iip6 serv,6,Economics
enpe cpi,6,Economics
enpe edat lfse 03,7,Education
enpe edat lfse 14,7,Education
enpe educ figdp,6,Economics
enpe educ uoe enra02,6,Economics
enpe ef lus main,6,Economics
enpe ext bal,6,Economics
enpe ext intro,6,Economics
enpe fish ca main,6,Economics
enpe gov 10dd,6,Economics
enpe hlth exp,6,Economics
enpe ilc di11,6,Economics
enpe ilc li01,3,Education
enpe ilc li09,3,Education
enpe irt ld,6,Economics
enpe irt lt gby10,5,Transport
enpe irt st,6,Economics
enpe isoc ci ifp fu,6,Economics
enpe isoc ci in h,6,Economics
enpe lfsa argaed,7,Education
enpe lfsa ergan,7,Education
enpe lfsa urgan,7,Education
enpe lfsa urgan2,7,Education
enpe mar go,6,Economics
enpe mon res,6,Economics
enpe nama 10 a10,6,Economics
enpe nama 10 gdp,6,Economics
enpe nama 10 gdp ea,6,Economics
enpe nama 10 lp,6,Economics
enpe nama 10 pe,6,Economics
enpe nama 10 ulc,6,Economics
enpe rail go,6,Economics
enpe rail if,6,Economics
enpe rd e gerdfund,6,Economics
enpe reg area3,6,Economics
enpe road eqs car,6,Economics
enpe road go,6,Economics
enpe road if,6,Economics
enpe road pa,6,Economics
enpe spr exp,6,Economics
enpe sts incopr,6,Economics
enpe sts inppd,6,Economics
enpe sts trtu,6,Economics
enpe sts trtu1,6,Economics
enpe tour cap nat,6,Economics
enpe tour dem tttot,6,Economics
enpe tour occ arnat,6,Economics
enps apro cpnh1,6,Economics
enps apro mt ls,6,Economics
enps apro mt p,6,Economics
enps avia fr,6,Economics
enps avia if,6,Economics
enps avia pa,6,Economics
enps avia typ,6,Economics
enps bop iip6,6,Economics
enps cpi,6,Economics
enps demo dens,6,Economics
